arm,condition,signal,split,threshold,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,balanced_accuracy,mcc,average_precision,auroc,positive_prevalence,span_count
stored_six_decimal_scores,original_dev17,negative_mean_spilled_energy_delta,test,-5.590794,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.5756879237162901,0.4012490241998439,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,mean_spilled_probability_mass_after_top1,dev,0.038461,43,7,34,18,0.86,0.7049180327868853,0.8292682926829268,0.7747747747747747,0.7549019607843137,0.767093162734906,0.5239175400574719,0.8619572058664463,0.7658936425429828,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_spilled_probability_mass_after_top1,test,0.038461,41,10,32,20,0.803921568627451,0.6721311475409836,0.7619047619047619,0.7321428571428571,0.7087378640776699,0.7170179547228728,0.4266074787364872,0.8212107104092198,0.7441451990632318,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,mean_spilled_probability_mass_after_top2,dev,0.000225,50,18,23,11,0.7352941176470589,0.819672131147541,0.5609756097560976,0.7751937984496124,0.7156862745098039,0.6903238704518193,0.3959006252558447,0.8434557878996746,0.7367053178728509,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_spilled_probability_mass_after_top2,test,0.000225,51,20,22,10,0.7183098591549296,0.8360655737704918,0.5238095238095238,0.7727272727272727,0.7087378640776699,0.6799375487900079,0.3821529309874683,0.8079665074020165,0.7275565964090555,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,max_selected_step_energy_gap,dev,0.195013,43,8,33,18,0.8431372549019608,0.7049180327868853,0.8048780487804879,0.7678571428571429,0.7450980392156863,0.7548980407836865,0.4999000299900035,0.8273830390523658,0.7453018792483007,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,max_selected_step_energy_gap,test,0.195013,41,9,33,20,0.82,0.6721311475409836,0.7857142857142857,0.7387387387387387,0.7184466019417476,0.7289227166276346,0.45017929057605355,0.8304618411696051,0.7591725214676034,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,all_positive,dev,0.5,61,41,0,0,0.5980392156862745,1.0,0.0,0.7484662576687117,0.5980392156862745,0.5,0.0,0.5980392156862745,0.5,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,all_positive,test,0.5,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.5922330097087378,0.5,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,all_negative,dev,0.5,0,0,41,61,0.0,0.0,1.0,0.0,0.4019607843137255,0.5,0.0,0.5980392156862745,0.5,0.5980392156862745,102
